sku_id,product_name,product_type,hero_sku,current_price,cogs,competitor_price,mrp,stock_on_hand,days_of_cover,sell_through_weekly_pct,ageing_days,stockout_risk_pct,days_to_season_end,current_ad_spend_per_unit,roas,conversion_rate,ctr,cpc,last_30d_sales,avg_daily_sessions,conversion_benchmark,weekly_sales_vs_baseline,trend_7d_pct,demand_uncertainty_sigma
CL-001,Zara Winter Jacket,seasonal,1,3999,1680,3799,5999,1280,86,2,182,6,4,22,1.2,1.1,0.8,24.0,180,3600,2.0,0.52,-36,0.16
CL-002,Monte Carlo Sweater,seasonal,1,2799,1120,2699,4299,1360,92,1,214,8,3,20,1.0,0.9,0.7,25.8,120,3000,1.7,0.40,-44,0.18
CL-003,Allen Solly Sweater,seasonal,0,2399,940,2299,3699,980,74,3,168,7,7,17,1.4,1.2,0.9,21.0,190,3300,1.9,0.58,-28,0.15
CL-004,H&M Hoodie,seasonal,0,2499,980,2399,3999,1020,79,3,173,7,8,18,1.5,1.3,1.0,20.4,210,3400,2.0,0.61,-26,0.14
CL-005,Adidas Fleece Hoodie,seasonal,0,3599,1520,3399,5499,1120,84,2,176,6,6,24,1.3,1.1,0.8,23.2,160,3100,1.8,0.50,-38,0.17
CL-006,Puma Track Jacket,seasonal,0,3299,1410,3199,4999,1050,80,3,171,5,7,21,1.4,1.2,0.9,22.1,170,3200,1.9,0.56,-30,0.15
CL-007,Woodland Winter Jacket,seasonal,0,4799,2140,4599,6999,1320,88,2,188,5,5,27,1.1,0.9,0.7,26.4,140,2800,1.6,0.42,-41,0.19
CL-008,USPA Sweatshirt,seasonal,0,2299,900,2249,3499,940,76,3,164,8,9,15,1.5,1.3,1.0,20.0,200,3350,1.9,0.57,-25,0.14
CL-009,Zara Puffer Jacket,seasonal,0,4499,1980,4399,6499,1400,91,2,196,4,3,28,1.0,0.8,0.6,27.0,110,2600,1.5,0.35,-46,0.20
CL-010,HM Zip Hoodie,seasonal,0,2599,1040,2499,3999,960,77,3,169,7,8,19,1.4,1.2,0.9,21.2,185,3250,1.9,0.55,-29,0.14
CL-011,Adidas Quarter Zip,seasonal,0,3399,1450,3299,4999,1040,82,2,175,5,6,23,1.2,1.0,0.8,24.1,150,3000,1.7,0.46,-35,0.17
CL-012,Puma Fleece Jacket,seasonal,0,3199,1380,3099,4799,1080,83,2,178,5,6,22,1.2,1.0,0.8,23.5,145,2950,1.7,0.48,-34,0.17
CL-013,Allen Solly Pullover,seasonal,0,2099,820,2049,3299,890,73,3,160,7,10,15,1.6,1.4,1.0,19.3,205,3400,2.0,0.59,-24,0.13
CL-014,ColorPlus Sweater,seasonal,0,1999,780,1949,2999,930,75,3,166,6,9,14,1.5,1.3,1.0,18.8,195,3350,2.0,0.58,-23,0.13
CL-015,Monte Carlo Cardigan,seasonal,0,2499,1000,2399,3799,860,72,3,158,6,10,18,1.5,1.3,0.9,20.2,180,3250,1.9,0.54,-27,0.14
CL-016,Woodland Fleece Jacket,seasonal,0,4299,1900,4199,6299,1250,85,2,183,5,5,26,1.1,0.9,0.7,25.3,135,2750,1.6,0.41,-39,0.18
CL-017,USPA Hoodie,seasonal,0,2399,960,2329,3699,910,74,3,162,7,9,16,1.5,1.3,1.0,19.8,190,3300,1.9,0.56,-26,0.14
CL-018,H&M Heavyweight Hoodie,seasonal,0,2699,1100,2599,4199,970,78,3,170,8,8,20,1.4,1.2,0.9,21.6,175,3200,1.8,0.53,-28,0.15
CL-019,Adidas Winter Pullover,seasonal,0,3499,1500,3399,5199,1100,83,2,179,5,6,24,1.2,1.0,0.8,24.6,155,2900,1.7,0.47,-36,0.17
CL-020,Monte Carlo Wool Sweater,seasonal,0,2899,1180,2799,4399,1500,96,1,225,9,2,20,0.9,0.8,0.6,28.0,90,2500,1.4,0.30,-52,0.21
